Area,Crime_Code,n
77th Street,VEHICLE - STOLEN,8361
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",5899
77th Street,BATTERY - SIMPLE ASSAULT,4706
Central,BURGLARY FROM VEHICLE,9120
Central,BATTERY - SIMPLE ASSAULT,6792
Central,VEHICLE - STOLEN,4696
Devonshire,VEHICLE - STOLEN,3752
Devonshire,BURGLARY,3548
Devonshire,THEFT OF IDENTITY,3383
Foothill,VEHICLE - STOLEN,4302
Foothill,THEFT OF IDENTITY,2554
Foothill,BATTERY - SIMPLE ASSAULT,2417
Harbor,VEHICLE - STOLEN,5840
Harbor,BATTERY - SIMPLE ASSAULT,3147
Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2659
Hollenbeck,VEHICLE - STOLEN,5892
Hollenbeck,BATTERY - SIMPLE ASSAULT,3088
Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2451
Hollywood,BATTERY - SIMPLE ASSAULT,4482
Hollywood,BURGLARY FROM VEHICLE,4152
Hollywood,VEHICLE - STOLEN,3801
Mission,VEHICLE - STOLEN,5685
Mission,THEFT OF IDENTITY,3013
Mission,INTIMATE PARTNER - SIMPLE ASSAULT,2606
N Hollywood,VEHICLE - STOLEN,4799
N Hollywood,BURGLARY,3714
N Hollywood,BURGLARY FROM VEHICLE,3470
Newton,VEHICLE - STOLEN,7925
Newton,BATTERY - SIMPLE ASSAULT,4150
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3750
Northeast,VEHICLE - STOLEN,5088
Northeast,BURGLARY FROM VEHICLE,3062
Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2774
Olympic,VEHICLE - STOLEN,5422
Olympic,BATTERY - SIMPLE ASSAULT,4378
Olympic,BURGLARY FROM VEHICLE,3284
Pacific,VEHICLE - STOLEN,6227
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),4688
Pacific,BURGLARY,4411
Rampart,VEHICLE - STOLEN,5139
Rampart,BATTERY - SIMPLE ASSAULT,4123
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3091
Southeast,VEHICLE - STOLEN,6843
Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4855
Southeast,BATTERY - SIMPLE ASSAULT,3934
Southwest,VEHICLE - STOLEN,6321
Southwest,BATTERY - SIMPLE ASSAULT,4506
Southwest,THEFT OF IDENTITY,3675
Topanga,VEHICLE - STOLEN,3273
Topanga,BURGLARY,3180
Topanga,THEFT OF IDENTITY,3175
Van Nuys,VEHICLE - STOLEN,4375
Van Nuys,THEFT OF IDENTITY,3200
Van Nuys,BURGLARY,3171
West LA,BURGLARY,4372
West LA,BURGLARY FROM VEHICLE,3378
West LA,THEFT OF IDENTITY,3337
West Valley,VEHICLE - STOLEN,4074
West Valley,BURGLARY,3552
West Valley,THEFT OF IDENTITY,3175
Wilshire,VEHICLE - STOLEN,3976
Wilshire,BURGLARY,3701
Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),3295
