audited_attribute,group,n,data_clearance_rate,model_selection_rate,model_fnr,model_tpr
Victim_descent,A,20955,0.0842,0.001,0.9929,0.0071
Victim_descent,B,133656,0.085,0.0057,0.9612,0.0388
Victim_descent,C,4161,0.0062,0.001,1.0,0.0
Victim_descent,F,4467,0.0146,0.0018,1.0,0.0
Victim_descent,H,291256,0.1218,0.005,0.9764,0.0236
Victim_descent,I,952,0.0242,0.0,1.0,0.0
Victim_descent,J,1456,0.013,0.0,1.0,0.0
Victim_descent,K,5581,0.0206,0.0,1.0,0.0
Victim_descent,O,76222,0.0935,0.0048,0.9638,0.0362
Victim_descent,Unknown,136015,0.0346,0.0,1.0,0.0
Victim_descent,V,1097,0.0073,0.0,1.0,0.0
Victim_descent,W,195759,0.076,0.0023,0.9831,0.0169
Victim_descent,X,101620,0.1201,0.0053,0.9695,0.0305
Victim_descent,Z,518,0.0116,0.0,1.0,0.0
Victim_sex,F,350930,0.1014,0.0032,0.9813,0.0187
Victim_sex,M,394539,0.0925,0.005,0.9687,0.0313
Victim_sex,Unknown,136004,0.0346,0.0,1.0,0.0
Victim_sex,X,92893,0.1185,0.0057,0.9668,0.0332
age_band,0-12,263678,0.0842,0.0034,0.9729,0.0271
age_band,13-17,17113,0.156,0.003,0.9907,0.0093
age_band,18-25,110896,0.1071,0.0051,0.9725,0.0275
age_band,26-40,285378,0.0904,0.0044,0.9727,0.0273
age_band,41-60,215944,0.088,0.003,0.9792,0.0208
age_band,61-100,81337,0.0771,0.0024,0.9816,0.0184
