cell_lat,cell_lon,n_incidents,gi_z,gi_p,hotspot_class
34.05,-118.26,13138,5.204333010979207,0.01,Hot Spot
34.05,-118.27,4645,4.950767244322707,0.01,Hot Spot
34.05,-118.25,12481,4.924661972130368,0.01,Hot Spot
34.04,-118.26,7552,4.645656125904486,0.01,Hot Spot
34.04,-118.25,8223,4.394093013634112,0.01,Hot Spot
34.06,-118.26,3446,4.152790851398681,0.01,Hot Spot
34.04,-118.27,3748,3.965546204554211,0.01,Hot Spot
34.05,-118.28,3909,3.6756142156704343,0.01,Hot Spot
34.03,-118.26,3002,3.634704869358724,0.01,Hot Spot
34.06,-118.25,2865,3.6094487792382424,0.01,Hot Spot
34.06,-118.27,6542,3.4548481065394108,0.01,Hot Spot
34.06,-118.28,5879,3.295513243789974,0.01,Hot Spot
34.05,-118.24,5569,3.2797467633224966,0.01,Hot Spot
34.03,-118.25,2257,3.1843553105838924,0.01,Hot Spot
34.06,-118.29,4767,3.0871522694253284,0.01,Hot Spot
34.07,-118.29,5166,2.878219512465631,0.01,Hot Spot
34.06,-118.3,5526,2.8622463976940002,0.01,Hot Spot
34.04,-118.24,4812,2.8557501548442947,0.01,Hot Spot
34.07,-118.28,2682,2.664429434054912,0.01,Hot Spot
34.05,-118.29,3637,2.5374767143122905,0.01,Hot Spot
34.07,-118.3,4229,2.495951710998483,0.01,Hot Spot
34.05,-118.23,1540,2.462918528403245,0.01,Hot Spot
34.04,-118.28,2201,2.4612060112250003,0.01,Hot Spot
34.03,-118.27,3024,2.429036163736151,0.01,Hot Spot
34.05,-118.3,2518,2.2361656856656285,0.01,Hot Spot
34.1,-118.33,7541,2.2304832423014522,0.01,Hot Spot
34.07,-118.27,2775,2.171105601230304,0.01,Hot Spot
34.08,-118.3,2463,2.117768475296966,0.01,Hot Spot
34.06,-118.24,5753,2.076795440329866,0.01,Hot Spot
34.09,-118.32,2186,2.0615950812436252,0.01,Hot Spot
34.08,-118.29,2155,2.044186848770557,0.01,Hot Spot
33.96,-118.28,3430,2.0228016135942917,0.01,Hot Spot
34.06,-118.31,4151,2.0165742784006735,0.01,Hot Spot
34.09,-118.33,2856,2.0093350012380924,0.01,Hot Spot
34.1,-118.32,4604,1.982366393939367,0.01,Hot Spot
33.96,-118.27,3637,1.9778402534963693,0.01,Hot Spot
33.97,-118.28,4462,1.9536781929451317,0.01,Hot Spot
33.97,-118.27,3376,1.947949044567003,0.01,Hot Spot
34.02,-118.26,2701,1.9151111738482927,0.01,Hot Spot
34.07,-118.31,3081,1.8885317749991688,0.01,Hot Spot
34.03,-118.28,3366,1.8647051413663143,0.01,Hot Spot
33.98,-118.28,3313,1.850927162250434,0.01,Hot Spot
34.03,-118.24,1290,1.8370713414446347,0.01,Hot Spot
34.1,-118.31,4220,1.821035953321068,0.01,Hot Spot
34.02,-118.27,2155,1.8168608081344373,0.01,Hot Spot
34.02,-118.28,2218,1.7909112193219399,0.01,Hot Spot
34.08,-118.28,2378,1.7782230238649437,0.01,Hot Spot
34.09,-118.34,2385,1.754530844060134,0.01,Hot Spot
34.04,-118.23,1492,1.754361007645762,0.01,Hot Spot
34.09,-118.31,3104,1.750744907323104,0.01,Hot Spot
33.98,-118.29,2692,1.750539688322406,0.01,Hot Spot
33.95,-118.27,3577,1.7501150972864772,0.01,Hot Spot
34.07,-118.26,1411,1.722083597094477,0.01,Hot Spot
34.04,-118.29,1885,1.7203088065642962,0.01,Hot Spot
33.99,-118.28,2604,1.71470420489004,0.01,Hot Spot
33.95,-118.28,2598,1.6849686793405143,0.01,Hot Spot
34.0,-118.28,2708,1.6786139668361175,0.01,Hot Spot
34.01,-118.29,3047,1.6785290486289317,0.01,Hot Spot
34.05,-118.31,3375,1.6782742940073743,0.01,Hot Spot
33.98,-118.27,2201,1.677994063923662,0.01,Hot Spot
33.99,-118.29,3523,1.6662159085870054,0.01,Hot Spot
34.1,-118.34,6921,1.6507607948792078,0.01,Hot Spot
34.02,-118.29,2409,1.6264741876240976,0.01,Hot Spot
34.01,-118.28,3069,1.6015223877460325,0.01,Hot Spot
34.0,-118.29,1855,1.5971009797585642,0.01,Hot Spot
33.97,-118.26,1667,1.5755232633126774,0.01,Hot Spot
34.09,-118.3,2349,1.5734215376848313,0.01,Hot Spot
34.03,-118.29,2859,1.5702583344671635,0.01,Hot Spot
34.08,-118.31,2404,1.5654816853129685,0.01,Hot Spot
33.97,-118.29,2720,1.5638045507210503,0.01,Hot Spot
34.01,-118.27,2355,1.5175241278048437,0.01,Hot Spot
33.96,-118.26,2282,1.507126365102772,0.01,Hot Spot
34.04,-118.3,1590,1.470670506990134,0.01,Hot Spot
34.0,-118.27,2920,1.4607223390183293,0.01,Hot Spot
34.02,-118.25,1901,1.4557249025254506,0.01,Hot Spot
34.0,-118.3,1594,1.4483157889484983,0.01,Hot Spot
33.95,-118.26,1457,1.443067843744422,0.01,Hot Spot
33.96,-118.29,2672,1.4131596511736184,0.01,Hot Spot
34.01,-118.3,2129,1.3678416346055164,0.01,Hot Spot
34.11,-118.33,1311,1.3665961675667924,0.01,Hot Spot
34.1,-118.35,3478,1.3596611806466272,0.01,Hot Spot
34.03,-118.3,2195,1.3552312808384397,0.01,Hot Spot
34.09,-118.29,2153,1.3348650641484028,0.01,Hot Spot
34.06,-118.32,994,1.3345253913196602,0.01,Hot Spot
34.02,-118.3,2619,1.328064531056281,0.01,Hot Spot
34.01,-118.26,2121,1.314399776216649,0.01,Hot Spot
33.99,-118.3,2364,1.2980954804369944,0.01,Hot Spot
34.1,-118.3,3599,1.2856408100497585,0.01,Hot Spot
34.09,-118.35,898,1.2847633219088395,0.01,Hot Spot
33.98,-118.3,1667,1.283383401042072,0.01,Hot Spot
33.99,-118.27,2384,1.2761865829830839,0.01,Hot Spot
34.08,-118.27,1657,1.27567707373997,0.01,Hot Spot
33.94,-118.27,2891,1.2749128098752984,0.01,Hot Spot
34.11,-118.34,796,1.2746580552537412,0.01,Hot Spot
34.11,-118.32,1306,1.2448517645315609,0.01,Hot Spot
33.94,-118.28,2625,1.2409455270010186,0.01,Hot Spot
34.07,-118.25,1889,1.1790401539626432,0.01,Hot Spot
33.98,-118.26,422,1.1724070984458044,0.01,Hot Spot
33.95,-118.29,1556,1.1721787628220384,0.02,Hot Spot
34.0,-118.26,1973,1.1674148513989202,0.02,Hot Spot
33.94,-118.26,1566,1.1376849870632073,0.01,Hot Spot
34.05,-118.32,2236,1.1148419893302537,0.01,Hot Spot
34.03,-118.31,1777,1.1112754246284537,0.01,Hot Spot
34.06,-118.23,1177,1.1040573770176696,0.01,Hot Spot
34.04,-118.31,1954,1.103335572256591,0.01,Hot Spot
33.99,-118.31,2519,1.0967968703032918,0.01,Hot Spot
